   epsilon/fits             a1             b1          limit
    0.00000e+00    6.00028e+00   -1.04978e+00    9.86467e-01
    1.00000e-01    6.00028e+00   -1.07175e+00    9.73475e-01
    1.25893e-01    6.00028e+00   -1.08453e+00    9.66042e-01
    1.58489e-01    6.00028e+00   -1.10449e+00    9.54448e-01
    1.99526e-01    6.00028e+00   -1.13585e+00    9.36525e-01
    2.51189e-01    6.00028e+00   -1.18454e+00    9.09327e-01
    3.16228e-01    6.00028e+00   -1.25936e+00    8.69614e-01
    3.98107e-01    6.00028e+00   -1.37255e+00    8.12617e-01
    5.01187e-01    6.00027e+00   -1.53974e+00    7.34548e-01
    6.30957e-01    6.00027e+00   -1.77894e+00    6.40909e-01
    7.94328e-01    6.00027e+00   -2.10693e+00    5.31098e-01
