   epsilon/fits             a1             b1          limit
    0.00000e+00    4.00005e+00    1.25224e-01    9.96809e-01
    1.00000e+00    4.00004e+00   -8.99871e-01    4.30422e-01
    1.58489e+00    4.00004e+00   -1.69033e+00    2.47642e-01
    2.51189e+00    4.00003e+00   -2.66602e+00    1.43892e-01
    3.98107e+00    4.00003e+00   -3.71301e+00    9.68056e-02
    6.30957e+00    4.00003e+00   -4.76232e+00    7.27679e-02
    1.00000e+01    4.00003e+00   -5.79045e+00    6.10890e-02
    1.58489e+01    4.00003e+00   -6.79520e+00    5.70908e-02
    2.51189e+01    4.00003e+00   -7.78178e+00    5.56184e-02
    3.98107e+01    4.00003e+00   -8.75506e+00    5.50424e-02
    6.30957e+01    4.00003e+00   -9.71980e+00    5.48157e-02
    1.00000e+02    4.00003e+00   -1.06785e+01    5.47243e-02
