   epsilon/fits             a1             b1          limit
    0.00000e+00    6.00028e+00   -1.04978e+00    9.86467e-01
    1.00000e+00    6.00027e+00   -2.53446e+00    4.22421e-01
    1.58489e+00    6.00026e+00   -3.67537e+00    2.39691e-01
    2.51189e+00    6.00026e+00   -5.08225e+00    1.36393e-01
    3.98107e+00    6.00025e+00   -6.59431e+00    8.29777e-02
    6.30957e+00    6.00025e+00   -8.11593e+00    6.58419e-02
    1.00000e+01    6.00025e+00   -9.61485e+00    5.74710e-02
    1.58489e+01    6.00025e+00   -1.10875e+01    5.32619e-02
    2.51189e+01    6.00025e+00   -1.25401e+01    5.13644e-02
    3.98107e+01    6.00025e+00   -1.39781e+01    5.05691e-02
    6.30957e+01    6.00025e+00   -1.54070e+01    5.02496e-02
    1.00000e+02    6.00025e+00   -1.68293e+01    5.01196e-02
