         a/fits             a1             b1             a2             b2             c2             d2             e2
   0.00000e+000   0.00000e+000   0.00000e+000   0.00000e+000   0.00000e+000   0.00000e+000   0.00000e+000   0.00000e+000
   1.00000e-003   5.07191e+000  -4.24717e+000  -4.84414e+000  -1.35309e+000  -8.55919e-003  -5.56460e-002   5.48158e+000
   1.93070e-003   5.08157e+000  -3.95434e+000  -4.84402e+000  -1.06756e+000  -8.57473e-003  -5.56329e-002   5.48175e+000
   3.72759e-003   5.07178e+000  -3.68975e+000  -4.84359e+000  -7.82449e-001  -8.56268e-003  -5.55981e-002   5.48181e+000
   7.19686e-003   5.05434e+000  -3.43412e+000  -4.84201e+000  -4.98790e-001  -8.51312e-003  -5.54522e-002   5.48194e+000
   1.38950e-002   4.35533e+000  -4.21477e+000  -4.83618e+000  -2.20632e-001  -8.35989e-003  -5.49083e-002   5.48244e+000
   2.68270e-002   3.97063e+000  -4.41720e+000  -4.81503e+000   3.80212e-002  -7.83311e-003  -5.30133e-002   5.48452e+000
   5.17947e-002   4.46973e+000  -3.22028e+000  -4.74318e+000   2.35175e-001  -6.05882e-003  -4.72669e-002   5.49290e+000
   1.00000e-001   4.88774e+000  -1.96687e+000  -4.53435e+000   2.89787e-001  -1.61374e-003  -3.47544e-002   5.51871e+000
   1.36364e-001   4.96826e+000  -1.71868e+000  -4.34221e+000   2.47116e-001   2.96494e-004  -2.65197e-002   5.50656e+000
   1.72727e-001   4.99643e+000  -1.57958e+000  -4.14376e+000   1.88092e-001   1.07145e-003  -2.03811e-002   5.45755e+000
   2.09091e-001   5.01213e+000  -1.47161e+000  -3.94403e+000   1.25198e-001   3.61180e-003  -1.43896e-002   5.49479e+000
   2.45455e-001   5.02058e+000  -1.38333e+000  -3.74593e+000   6.36643e-002   7.44805e-003  -6.71228e-003   5.75255e+000
   2.81818e-001   5.02407e+000  -1.30682e+000  -3.55270e+000   9.28015e-003   7.48897e-003   1.03372e-003   6.02351e+000
   3.18182e-001   5.03365e+000  -1.22480e+000  -3.36637e+000  -3.44625e-002  -2.55535e-003   4.49568e-003   6.37272e+000
   3.54545e-001   5.03614e+000  -1.15652e+000  -3.18613e+000  -6.99152e-002  -7.33166e-003   1.46895e-003   6.27654e+000
   3.90909e-001   5.03870e+000  -1.09006e+000  -3.00770e+000  -1.06800e-001  -1.09719e-002  -1.18960e-003   6.25711e+000
   4.27273e-001   5.04153e+000  -1.02456e+000  -2.82990e+000  -1.47689e-001  -1.02499e-002   7.86049e-003   5.46383e+000
   4.63636e-001   5.04521e+000  -9.58145e-001  -2.65780e+000  -1.81414e-001  -4.92901e-003  -2.79911e-002   7.05502e+000
   5.00000e-001   5.04943e+000  -8.91289e-001  -2.49528e+000  -1.98940e-001   4.27341e-002   1.38418e-002   8.55252e+000
