         a/fits             a1             b1             a2             b2             c2             d2             e2
   5.36364e-001   5.04737e+000  -8.38222e-001  -2.33793e+000  -2.09274e-001   5.25124e-002  -3.27414e-003   8.11302e+000
   5.72727e-001   5.05538e+000  -7.70414e-001  -2.17726e+000  -2.30072e-001   5.74360e-002  -6.35003e-003   7.95105e+000
   6.09091e-001   5.06022e+000  -7.10447e-001  -2.01544e+000  -2.55375e-001  -2.03768e-002   9.11161e-002   9.19255e+000
   6.45455e-001   5.05920e+000  -6.62566e-001  -1.86657e+000  -2.52556e-001  -1.37080e-002   9.92238e-002   8.94338e+000
   6.81818e-001   5.06546e+000  -6.04399e-001  -1.72995e+000  -2.19793e-001   1.46316e-002   9.80389e-002   8.51908e+000
   7.18182e-001   5.06041e+000  -5.63801e-001  -1.58623e+000  -1.97402e-001   1.06590e-002   1.01162e-001   8.27005e+000
   7.54545e-001   5.06296e+000  -5.11263e-001  -1.44566e+000  -1.45868e-001   2.69188e-002   8.68190e-002   7.80968e+000
   7.90909e-001   5.06054e+000  -4.69439e-001  -1.33181e+000  -2.07594e-002   1.72636e-001  -3.00032e-001   9.65696e+000
   8.27273e-001   5.06480e+000  -4.19532e-001  -1.23073e+000   1.89264e-001   3.23023e-002  -3.26521e-001   9.13876e+000
   8.63636e-001   5.06150e+000  -3.72941e-001  -1.08512e+000   3.20920e-001  -9.01114e-002  -3.31466e-001   8.58356e+000
   9.00000e-001   5.06608e+000  -3.23942e-001  -9.81539e-001   4.87596e-001  -1.60762e-001  -2.67053e-001   8.13544e+000
   9.30481e-001   5.06625e+000  -3.10116e-001  -8.74106e-001   5.51136e-001  -1.45082e-001  -2.70493e-001   7.88121e+000
   9.51671e-001   5.06546e+000  -2.88080e-001  -7.74667e-001   5.44286e-001  -1.76349e-001  -2.66316e-001   7.59707e+000
   9.66402e-001   5.06769e+000  -2.79764e-001  -6.80279e-001   5.07968e-001  -1.09828e-001  -3.17394e-001   7.46316e+000
   9.76643e-001   5.06658e+000  -2.68345e-001  -6.43036e-001   5.99925e-001  -3.36585e-002  -3.79337e-001   7.34788e+000
   9.83762e-001   5.06504e+000  -2.69261e-001  -6.22821e-001   6.96157e-001  -3.40851e-002  -4.15746e-001   7.19070e+000
   9.88712e-001   5.06933e+000  -2.57448e-001  -5.94164e-001   7.25575e-001  -4.41912e-002  -4.26873e-001   7.04077e+000
   9.92152e-001   5.06706e+000  -2.56490e-001  -5.46049e-001   6.85230e-001  -1.34246e-001  -3.92709e-001   6.84760e+000
   9.94544e-001   5.06544e+000  -2.58011e-001  -4.92458e-001   6.41671e-001  -2.53849e-001  -3.46532e-001   6.57922e+000
   9.96207e-001   5.06585e+000  -2.57025e-001  -4.96474e-001   6.58688e-001  -2.16396e-001  -3.69899e-001   6.62266e+000
   9.97363e-001   5.06632e+000  -2.55589e-001  -4.83336e-001   6.63316e-001  -2.06724e-001  -3.62355e-001   6.57049e+000
   9.98167e-001   5.06644e+000  -2.54667e-001  -4.70423e-001   7.02706e-001  -1.05585e-001  -4.13024e-001   6.54765e+000
   9.98726e-001   5.06589e+000  -2.54941e-001  -4.66568e-001   6.60524e-001  -2.03473e-001  -3.62596e-001   6.51253e+000
   9.99114e-001   5.06593e+000  -2.54144e-001  -4.57838e-001   6.48629e-001  -2.08801e-001  -3.52677e-001   6.48837e+000
   9.99384e-001   5.06566e+000  -2.53974e-001  -4.20965e-001   5.78670e-001  -9.48283e-002   1.98480e-001   8.51457e+000
   9.99572e-001   5.06664e+000  -2.52118e-001  -3.94000e-001   5.35448e-001  -1.24192e-001   2.19715e-001   8.53920e+000
   9.99702e-001   5.06801e+000  -2.49788e-001  -3.87329e-001   5.94020e-001  -9.98800e-002   1.20714e-001   8.57606e+000
   9.99793e-001   5.06814e+000  -5.50829e-001  -3.93456e-001   5.55785e-001  -1.66430e-001   1.94794e-001   8.56887e+000
   9.99856e-001   5.06739e+000  -2.51124e-001  -3.95800e-001   5.69476e-001  -1.86961e-001   1.74970e-001   8.59193e+000
   9.99900e-001   5.06739e+000  -2.51124e-001  -3.95800e-001   5.69476e-001  -1.86961e-001   1.74970e-001   8.59193e+000
