         a/fits             a1             b1             a2             b2             c2             d2             e2
   0.00000e+000   2.36409e+000  -3.06336e+000   0.00000e+000   0.00000e+000   0.00000e+000   0.00000e+000   0.00000e+000
   1.00000e-003   2.36409e+000  -3.06336e+000  -4.80088e+000  -1.54046e+000  -3.05361e-002  -6.34113e-002   5.42456e+000
   1.93070e-003   2.36409e+000  -3.06336e+000  -4.80077e+000  -1.25493e+000  -3.04885e-002  -6.34195e-002   5.42522e+000
   3.72759e-003   2.36409e+000  -3.06336e+000  -4.80035e+000  -9.69844e-001  -3.04603e-002  -6.33777e-002   5.42526e+000
   7.19686e-003   2.36409e+000  -3.06336e+000  -4.79878e+000  -6.86302e-001  -3.04108e-002  -6.32529e-002   5.42524e+000
   1.38950e-002   2.36409e+000  -3.06336e+000  -4.79292e+000  -4.08728e-001  -3.02786e-002  -6.27115e-002   5.42519e+000
   2.68270e-002   2.36409e+000  -3.06336e+000  -4.77162e+000  -1.52293e-001  -2.98504e-002  -6.08739e-002   5.42505e+000
   5.17947e-002   2.36409e+000  -3.06336e+000  -4.69902e+000   3.64427e-002  -2.85647e-002  -5.53311e-002   5.42408e+000
   1.00000e-001   2.36409e+000  -3.06336e+000  -4.48645e+000   6.06922e-002  -2.64827e-002  -4.30969e-002   5.40772e+000
   1.36364e-001   2.55109e+000  -2.31191e+000  -4.28906e+000  -1.67322e-002  -2.66084e-002  -3.48300e-002   5.36351e+000
   1.72727e-001   2.66873e+000  -2.03955e+000  -4.08324e+000  -1.18232e-001  -2.62144e-002  -2.90972e-002   5.33442e+000
   2.09091e-001   2.73920e+000  -1.86243e+000  -3.87535e+000  -2.27420e-001  -2.37675e-002  -2.66419e-002   5.37273e+000
   2.45455e-001   2.78361e+000  -1.73769e+000  -3.66990e+000  -3.34908e-001  -2.15902e-002  -2.64908e-002   5.43655e+000
   2.81818e-001   2.81781e+000  -1.63468e+000  -3.47015e+000  -4.34491e-001  -2.20817e-002  -2.55964e-002   5.42909e+000
   3.18182e-001   2.84070e+000  -1.55404e+000  -3.27729e+000  -5.24321e-001  -2.52847e-002  -2.23786e-002   5.31919e+000
   3.54545e-001   2.85904e+000  -1.48467e+000  -3.08875e+000  -6.10553e-001  -2.72135e-002  -2.03356e-002   5.23817e+000
   3.90909e-001   2.87307e+000  -1.42537e+000  -2.90149e+000  -7.00127e-001  -2.19154e-002  -2.31257e-002   5.35154e+000
   4.27273e-001   2.88696e+000  -1.36953e+000  -2.71823e+000  -7.87241e-001  -1.31594e-002  -2.98312e-002   5.57075e+000
   4.63636e-001   2.89028e+000  -1.33206e+000  -2.54354e+000  -8.61833e-001  -1.04097e-002  -3.13354e-002   5.56099e+000
   5.00000e-001   2.89735e+000  -1.29055e+000  -2.37776e+000  -9.23028e-001  -2.93222e-002   2.50464e-002   8.73182e+000
   5.36364e-001   2.90134e+000  -1.25545e+000  -2.21289e+000  -9.88084e-001  -3.10505e-002   2.60318e-002   8.57217e+000
   5.72727e-001   2.90387e+000  -1.22365e+000  -2.04495e+000  -1.06563e+000  -1.06363e-002   3.31313e-002   7.96169e+000
   6.09091e-001   2.90307e+000  -1.19915e+000  -1.88249e+000  -1.13687e+000  -9.69198e-003   4.44716e-002   7.69580e+000
   6.45455e-001   2.91021e+000  -1.16297e+000  -1.73357e+000  -1.18381e+000  -2.75520e-003   4.67581e-002   7.41905e+000
   6.81818e-001   2.90850e+000  -1.14109e+000  -1.58504e+000  -1.23456e+000  -6.20803e-002  -4.49078e-002   8.82849e+000
   7.18182e-001   2.91188e+000  -1.11161e+000  -1.42553e+000  -1.31380e+000  -6.69833e-002  -2.59138e-002   8.45003e+000
   7.54545e-001   2.91521e+000  -1.08331e+000  -1.27075e+000  -1.38472e+000  -8.12207e-002  -1.48446e-003   7.99416e+000
   7.90909e-001   2.91271e+000  -1.06495e+000  -1.13320e+000  -1.42062e+000   1.41367e-001   2.31069e-001   9.94071e+000
   8.27273e-001   2.91408e+000  -1.04446e+000  -9.83037e-001  -1.46570e+000  -5.42154e-002   1.46680e-002   7.20816e+000
   8.63636e-001   2.91011e+000  -1.01988e+000  -8.16749e-001  -1.53664e+000   1.58898e-001   1.93935e-001   9.07245e+000
   9.00000e-001   2.91533e+000  -9.91364e-001  -7.01173e-001  -1.52908e+000   1.70007e-001   6.04085e-002   8.50633e+000
   9.30481e-001   2.92075e+000  -9.77357e-001  -5.85769e-001  -1.58028e+000   1.12862e-001  -6.60244e-002   8.02060e+000
   9.51671e-001   2.91821e+000  -9.81853e-001  -5.00255e-001  -1.61486e+000   9.09122e-002  -1.05528e-001   7.78147e+000
   9.66402e-001   2.91266e+000  -9.84488e-001  -4.22486e-001  -1.67519e+000   9.18531e-002  -1.31909e-001   7.61162e+000
   9.76643e-001   2.91507e+000  -9.71606e-001  -3.74486e-001  -1.69438e+000   1.19542e-001  -1.54146e-001   7.49112e+000
   9.83762e-001   2.92007e+000  -9.64261e-001  -3.29115e-001  -1.72690e+000   7.51267e-002  -2.07346e-001   7.21657e+000
   9.88712e-001   2.91483e+000  -9.73682e-001  -3.02458e-001  -1.73585e+000   7.86845e-002  -2.19691e-001   7.10652e+000
   9.92152e-001   2.91474e+000  -9.68429e-001  -2.71822e-001  -1.77027e+000   1.87713e-002  -2.44771e-001   6.92196e+000
   9.94544e-001   2.91878e+000  -9.63868e-001  -2.54033e-001  -1.76992e+000   4.78997e-002  -2.57572e-001   6.86402e+000
   9.96207e-001   2.91371e+000  -9.70677e-001  -2.26306e-001  -1.80534e+000  -2.12271e-003  -2.53442e-001   6.71430e+000
   9.97363e-001   2.91866e+000  -9.61909e-001  -2.17789e-001  -1.80126e+000   2.63625e-002  -2.60827e-001   6.69500e+000
   9.98167e-001   2.91353e+000  -9.70801e-001  -2.08416e-001  -1.81020e+000   2.12458e-002  -2.66623e-001   6.65451e+000
   9.98726e-001   2.91797e+000  -9.62516e-001  -1.98400e-001  -1.82030e+000   1.83847e-002  -2.68850e-001   6.61641e+000
   9.99114e-001   2.91445e+000  -9.68642e-001  -1.78206e-001  -1.84974e+000  -1.26180e-002  -2.60853e-001   6.52123e+000
   9.99384e-001   2.91828e+000  -9.62260e-001  -1.63575e-001  -1.86980e+000  -3.54410e-002  -2.55082e-001   6.44646e+000
   9.99572e-001   2.91526e+000  -9.66752e-001  -1.49851e-001  -1.89009e+000  -6.04340e-002   6.63158e-002   8.63499e+000
   9.99702e-001   2.91744e+000  -9.63793e-001  -1.46529e-001  -1.89040e+000  -6.03125e-002   6.62168e-002   8.63973e+000
   9.99793e-001   2.91608e+000  -9.65100e-001  -1.39931e-001  -1.90041e+000  -4.60694e-002   7.69751e-002   8.65615e+000
   9.99856e-001   2.91553e+000  -9.66803e-001  -1.43206e-001  -1.88805e+000  -5.95516e-002   6.43593e-002   8.65821e+000
   9.99900e-001   2.91553e+000  -9.66803e-001  -1.43206e-001  -1.88805e+000  -5.95516e-002   6.43593e-002   8.65821e+000
