   epsilon/fits             a1             b1          limit
    0.00000e+00    2.00000e+00    6.05418e-01    1.00028e+00
    1.00000e-01    2.00005e+00    6.03363e-01    9.92038e-01
    1.25893e-01    2.00005e+00    6.00925e-01    9.84627e-01
    1.58489e-01    2.00005e+00    5.97097e-01    9.73041e-01
    1.99526e-01    2.00005e+00    5.91118e-01    9.55076e-01
    2.51189e-01    2.00005e+00    5.81874e-01    9.27760e-01
    3.16228e-01    2.00005e+00    5.67748e-01    8.87781e-01
    3.98107e-01    2.00005e+00    5.46567e-01    8.30583e-01
    5.01187e-01    2.00005e+00    5.15770e-01    7.54464e-01
    6.30957e-01    2.00005e+00    4.72734e-01    6.59995e-01
    7.94328e-01    2.00004e+00    4.15794e-01    5.52233e-01
