 initial_energy   final_energy         photon         gluons          higgs            Wpm             Z0       electron           muon            tau             up           down          charm        strange            top         bottom
    2.50000e+01    4.64159e-04    0.00000e+00    0.00000e+00    5.90000e-04    0.00000e+00    0.00000e+00    8.55000e-03    6.13000e-03    2.66000e-03    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    2.50000e+01    5.99484e-04    0.00000e+00    0.00000e+00    5.30000e-04    0.00000e+00    0.00000e+00    8.80500e-03    6.16000e-03    2.56500e-03    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    2.50000e+01    7.74264e-04    0.00000e+00    0.00000e+00    5.90000e-04    0.00000e+00    0.00000e+00    8.97500e-03    5.43000e-03    2.61000e-03    5.00000e-06    5.00000e-06    5.00000e-06    0.00000e+00    0.00000e+00    0.00000e+00
    2.50000e+01    1.00000e-03    0.00000e+00    5.00000e-06    5.20000e-04    0.00000e+00    0.00000e+00    9.27500e-03    5.86500e-03    2.36000e-03    5.00000e-06    5.00000e-06    0.00000e+00    0.00000e+00    0.00000e+00    5.00000e-06
    2.50000e+01    1.29155e-03    0.00000e+00    5.00000e-06    5.70000e-04    0.00000e+00    0.00000e+00    9.75000e-03    5.72000e-03    2.51000e-03    4.00000e-05    3.00000e-05    5.00000e-06    2.50000e-05    0.00000e+00    0.00000e+00
    2.50000e+01    1.66810e-03    0.00000e+00    4.00000e-05    6.70000e-04    0.00000e+00    0.00000e+00    1.00800e-02    5.93000e-03    2.80500e-03    6.50000e-05    8.00000e-05    6.00000e-05    6.50000e-05    0.00000e+00    1.50000e-05
    2.50000e+01    2.15443e-03    0.00000e+00    1.20000e-04    8.00000e-04    0.00000e+00    0.00000e+00    9.80000e-03    5.79000e-03    2.62500e-03    1.50000e-04    1.55000e-04    1.00000e-04    8.00000e-05    0.00000e+00    7.00000e-05
    2.50000e+01    2.78256e-03    0.00000e+00    3.35000e-04    9.70000e-04    0.00000e+00    0.00000e+00    1.05450e-02    5.83000e-03    2.91000e-03    3.20000e-04    3.75000e-04    2.75000e-04    3.05000e-04    0.00000e+00    2.05000e-04
    2.50000e+01    3.59381e-03    0.00000e+00    1.05000e-03    1.91000e-03    0.00000e+00    0.00000e+00    1.04900e-02    5.87000e-03    3.04500e-03    6.95000e-04    9.15000e-04    6.10000e-04    5.95000e-04    0.00000e+00    6.00000e-04
    2.50000e+01    4.64159e-03    0.00000e+00    2.00000e-03    3.61000e-03    0.00000e+00    0.00000e+00    1.06950e-02    5.79000e-03    3.06000e-03    1.61500e-03    1.60500e-03    1.37000e-03    1.45500e-03    0.00000e+00    1.46500e-03
