         Q/fits             a1             b1          limit
    0.00000e+00    2.00000e+00    6.05418e-01    1.00028e+00
    1.00000e-02    2.00000e+00    6.05415e-01    1.00021e+00
    1.39997e-01    2.00000e+00    6.01142e-01    9.93819e-01
    2.52925e-01    2.00000e+00    5.91193e-01    9.79082e-01
    3.51024e-01    2.00000e+00    5.77365e-01    9.58947e-01
    4.36241e-01    2.00000e+00    5.60842e-01    9.35563e-01
    5.10268e-01    2.00000e+00    5.42449e-01    9.10729e-01
    5.74575e-01    2.00000e+00    5.22842e-01    8.85658e-01
    6.30438e-01    2.00000e+00    5.02462e-01    8.60802e-01
    6.78965e-01    2.00000e+00    4.81657e-01    8.36468e-01
    7.21121e-01    2.00000e+00    4.60709e-01    8.13084e-01
    7.57740e-01    2.00000e+00    4.39822e-01    7.91228e-01
    7.89552e-01    2.00000e+00    4.19153e-01    7.71366e-01
    8.17186e-01    2.00000e+00    3.98867e-01    7.53574e-01
    8.41191e-01    2.00000e+00    3.79012e-01    7.37442e-01
    8.62044e-01    2.00000e+00    3.59715e-01    7.22574e-01
    8.80159e-01    2.00000e+00    3.40979e-01    7.08757e-01
    8.95896e-01    2.00000e+00    3.22893e-01    6.95917e-01
    9.09566e-01    2.00000e+00    3.05486e-01    6.84055e-01
    9.21441e-01    2.00000e+00    2.88756e-01    6.73214e-01
    9.31756e-01    2.00000e+00    2.72703e-01    6.63440e-01
    9.40717e-01    2.00000e+00    2.57356e-01    6.54721e-01
    9.48502e-01    2.00000e+00    2.42694e-01    6.47020e-01
    9.55264e-01    2.00000e+00    2.28735e-01    6.40253e-01
    9.61138e-01    2.00000e+00    2.15444e-01    6.34317e-01
    9.66241e-01    2.00000e+00    2.02827e-01    6.29108e-01
    9.70674e-01    2.00000e+00    1.90841e-01    6.24540e-01
    9.74525e-01    2.00000e+00    1.79485e-01    6.20523e-01
    9.77870e-01    2.00000e+00    1.68741e-01    6.16999e-01
    9.80776e-01    2.00000e+00    1.58566e-01    6.13904e-01
    9.83300e-01    2.00000e+00    1.48972e-01    6.11191e-01
    9.85493e-01    2.00000e+00    1.39920e-01    6.08807e-01
    9.87398e-01    2.00000e+00    1.31350e-01    6.06720e-01
    9.89053e-01    2.00000e+00    1.23309e-01    6.04889e-01
    9.90490e-01    2.00000e+00    1.15705e-01    6.03295e-01
    9.91739e-01    2.00000e+00    1.08577e-01    6.01892e-01
    9.92824e-01    2.00000e+00    1.01874e-01    6.00669e-01
    9.93766e-01    2.00000e+00    9.55690e-02    5.99605e-01
    9.94585e-01    2.00000e+00    8.96228e-02    5.98671e-01
    9.95296e-01    2.00000e+00    8.40516e-02    5.97855e-01
    9.95913e-01    2.00000e+00    7.88287e-02    5.97150e-01
    9.96450e-01    2.00000e+00    7.40149e-02    5.96530e-01
    9.96916e-01    2.00000e+00    6.93471e-02    5.96006e-01
    9.97321e-01    2.00000e+00    6.50792e-02    5.95528e-01
    9.97673e-01    2.00000e+00    6.10092e-02    5.95119e-01
    9.97978e-01    2.00000e+00    5.72266e-02    5.94765e-01
    9.98244e-01    2.00000e+00    5.37208e-02    5.94453e-01
    9.98475e-01    2.00000e+00    5.03569e-02    5.94186e-01
    9.98675e-01    2.00000e+00    4.72574e-02    5.93954e-01
    9.98849e-01    2.00000e+00    4.43840e-02    5.93752e-01
    9.99000e-01    2.00000e+00    4.16625e-02    5.93576e-01
