         Q/fits             a1             b1          limit
    0.00000e+00    6.00028e+00   -1.04978e+00    9.86467e-01
    1.00000e-02    6.00028e+00   -1.04988e+00    9.86393e-01
    1.39997e-01    6.00028e+00   -1.06888e+00    9.79986e-01
    2.52925e-01    6.00028e+00   -1.11340e+00    9.65235e-01
    3.51024e-01    6.00028e+00   -1.17602e+00    9.45187e-01
    4.36241e-01    6.00028e+00   -1.25174e+00    9.21960e-01
    5.10268e-01    6.00028e+00   -1.33721e+00    8.97267e-01
    5.74575e-01    6.00028e+00   -1.43008e+00    8.72413e-01
    6.30438e-01    6.00028e+00   -1.52847e+00    8.47896e-01
    6.78965e-01    6.00028e+00   -1.63113e+00    8.23757e-01
    7.21121e-01    6.00028e+00   -1.73686e+00    8.00237e-01
    7.57740e-01    6.00028e+00   -1.84499e+00    7.77859e-01
    7.89552e-01    6.00028e+00   -1.95480e+00    7.57167e-01
    8.17186e-01    6.00028e+00   -2.06583e+00    7.38597e-01
    8.41191e-01    6.00028e+00   -2.17765e+00    7.22070e-01
    8.62044e-01    6.00028e+00   -2.28991e+00    7.07220e-01
    8.80159e-01    6.00028e+00   -2.40241e+00    6.93712e-01
    8.95896e-01    6.00028e+00   -2.51490e+00    6.81343e-01
    9.09566e-01    6.00028e+00   -2.62723e+00    6.69996e-01
    9.21441e-01    6.00028e+00   -2.73931e+00    6.59605e-01
    9.31756e-01    6.00028e+00   -2.85091e+00    6.50144e-01
    9.40717e-01    6.00028e+00   -2.96215e+00    6.41580e-01
    9.48502e-01    6.00028e+00   -3.07283e+00    6.33897e-01
    9.55264e-01    6.00028e+00   -3.18294e+00    6.27050e-01
    9.61138e-01    6.00028e+00   -3.29244e+00    6.20989e-01
    9.66241e-01    6.00028e+00   -3.40135e+00    6.15649e-01
    9.70674e-01    6.00028e+00   -3.50960e+00    6.10952e-01
    9.74525e-01    6.00028e+00   -3.61728e+00    6.06826e-01
    9.77870e-01    6.00028e+00   -3.72432e+00    6.03206e-01
    9.80776e-01    6.00028e+00   -3.83074e+00    6.00034e-01
    9.83300e-01    6.00028e+00   -3.93652e+00    5.97251e-01
    9.85493e-01    6.00028e+00   -4.04190e+00    5.94812e-01
    9.87398e-01    6.00028e+00   -4.14662e+00    5.92673e-01
    9.89053e-01    6.00028e+00   -4.25083e+00    5.90804e-01
    9.90490e-01    6.00028e+00   -4.35452e+00    5.89172e-01
    9.91739e-01    6.00028e+00   -4.45770e+00    5.87735e-01
    9.92824e-01    6.00028e+00   -4.56044e+00    5.86488e-01
    9.93766e-01    6.00028e+00   -4.66267e+00    5.85399e-01
    9.94585e-01    6.00028e+00   -4.76458e+00    5.84447e-01
    9.95296e-01    6.00028e+00   -4.86602e+00    5.83614e-01
    9.95913e-01    6.00028e+00   -4.96716e+00    5.82891e-01
    9.96450e-01    6.00028e+00   -5.06784e+00    5.82259e-01
    9.96916e-01    6.00028e+00   -5.16825e+00    5.81723e-01
    9.97321e-01    6.00028e+00   -5.26834e+00    5.81233e-01
    9.97673e-01    6.00028e+00   -5.36804e+00    5.80815e-01
    9.97978e-01    6.00028e+00   -5.46752e+00    5.80453e-01
    9.98244e-01    6.00028e+00   -5.56675e+00    5.80135e-01
    9.98475e-01    6.00028e+00   -5.66577e+00    5.79862e-01
    9.98675e-01    6.00028e+00   -5.76449e+00    5.79622e-01
    9.98849e-01    6.00028e+00   -5.86299e+00    5.79416e-01
    9.99000e-01    6.00028e+00   -5.96129e+00    5.79236e-01
